OBJECTID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_SA_20,TEMP,BUIL_SA_21,BUIL_SA_22,BUIL_SA_23,BUIL_SA_24,PEOP_SA_20,PEOP_SA_21,PEOP_SA_22,PEOP_SA_23,PEOP_SA_24,AGRI_SA_20,AGRI_SA_21,AGRI_SA_22,AGRI_SA_23,AGRI_SA_24,ROAD_SA_20,ROAD_SA_21,ROAD_SA_22,ROAD_SA_23,ROAD_SA_24,BUIL_SA_50,BUIL_SA_51,BUIL_SA_52,BUIL_SA_53,BUIL_SA_54,PEOP_SA_50,PEOP_SA_51,PEOP_SA_52,PEOP_SA_53,PEOP_SA_54,AGRI_SA_50,AGRI_SA_51,AGRI_SA_52,AGRI_SA_53,AGRI_SA_54,ROAD_SA_50,ROAD_SA_51,ROAD_SA_52,ROAD_SA_53,ROAD_SA_54,BUIL_SA_10,BUIL_SA_11,BUIL_SA_12,BUIL_SA_13,BUIL_SA_14,PEOP_SA_10,PEOP_SA_11,PEOP_SA_12,PEOP_SA_13,PEOP_SA_14,AGRI_SA_10,AGRI_SA_11,AGRI_SA_12,AGRI_SA_13,AGRI_SA_14,ROAD_SA_10,ROAD_SA_11,ROAD_SA_12,ROAD_SA_13,ROAD_SA_14,Shape_Length,Shape_Area
1,Asht_Asht,Asht,Asht,2992,65,21835,5352,904,0,0,5352,0,0,0,0,21835,0,0,0,0,2926,66,0,0,0,57,8,0,0,0,5352,0,0,0,0,21835,0,0,0,0,2926,66,0,0,0,57,8,0,0,0,5352,0,0,0,0,21835,0,0,0,0,2926,66,0,0,0,57,8,0,0,143639.8725,349456275
2,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,76782.01811,145765350
3,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,31333.52886,4690012.5
4,Asht_Ponghoz,Asht,Ponghoz,1064,23,28281,5064,859,0,0,5064,0,0,0,0,28281,0,0,0,0,1059,5,0,0,0,23,0,0,0,0,5064,0,0,0,0,28281,0,0,0,0,1059,5,0,0,0,23,0,0,0,0,5064,0,0,0,0,28281,0,0,0,0,1059,5,0,0,0,23,0,0,0,73993.80615,189097087.5
5,Asht_Oshoba,Asht,Oshoba,11576,90,21361,5376,920,0,0,5376,0,0,0,0,21361,0,0,0,0,11576,0,0,0,0,90,0,0,0,0,5376,0,0,0,0,21361,0,0,0,0,11576,0,0,0,0,90,0,0,0,0,5376,0,0,0,0,21361,0,0,0,0,11576,0,0,0,0,90,0,0,0,160412.1856,389722725
6,Asht_Shaydon,Asht,Shaydon,7985,92,6173,7080,1201,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,0,0,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,0,0,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,0,0,0,182506.6164,590353875
7,Asht_Iftikhor,Asht,Iftikhor,2746,55,11415,1917,326,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,0,55,0,0,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,0,55,0,0,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,0,55,0,0,0,93790.38571,148386600
8,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,0,73,0,0,0,32505.91645,23375925
9,Asht_Oriyon,Asht,Oriyon,4075,30,18187,4891,833,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,45970.3221,54716400
10,Asht_Adrasmon,Asht,Adrasmon,336,30,15100,2845,505,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,38042.06193,83644762.5
