OBJECTID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_WS_5_,TEMP,BUIL_WS_51,BUIL_WS_52,BUIL_WS_53,BUIL_WS_54,PEOP_WS_5_,PEOP_WS_51,PEOP_WS_52,PEOP_WS_53,PEOP_WS_54,AGRI_WS_5_,AGRI_WS_51,AGRI_WS_52,AGRI_WS_53,AGRI_WS_54,ROAD_WS_5_,ROAD_WS_51,ROAD_WS_52,ROAD_WS_53,ROAD_WS_54,BUIL_WS_20,BUIL_WS_21,BUIL_WS_22,BUIL_WS_23,BUIL_WS_24,PEOP_WS_20,PEOP_WS_21,PEOP_WS_22,PEOP_WS_23,PEOP_WS_24,AGRI_WS_20,AGRI_WS_21,AGRI_WS_22,AGRI_WS_23,AGRI_WS_24,ROAD_WS_20,ROAD_WS_21,ROAD_WS_22,ROAD_WS_23,ROAD_WS_24,BUIL_WS_50,BUIL_WS_55,BUIL_WS_56,BUIL_WS_57,BUIL_WS_58,PEOP_WS_50,PEOP_WS_55,PEOP_WS_56,PEOP_WS_57,PEOP_WS_58,AGRI_WS_50,AGRI_WS_55,AGRI_WS_56,AGRI_WS_57,AGRI_WS_58,ROAD_WS_50,ROAD_WS_55,ROAD_WS_56,ROAD_WS_57,ROAD_WS_58,Shape_Length,Shape_Area
1,Asht_Asht,Asht,Asht,2992,65,21835,5352,904,0,0,5352,0,0,0,0,21835,0,0,0,0,2932,60,0,0,0,63,2,0,0,0,2657,2696,0,0,0,10790,11045,0,0,0,2446,479,67,0,0,28,34,2,0,0,0,5280,72,0,0,0,21541,294,0,0,0,2884,99,9,0,1,51,12,0,143639.8725,349456275
2,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2622,0,0,0,0,8948,0,0,0,0,1975,5,0,0,0,73,0,0,0,0,1616,1006,0,0,0,5513,3435,0,0,0,1702,272,5,0,0,33,40,0,0,0,2,2589,31,0,0,7,8836,104,0,0,0,1975,6,0,0,0,67,7,0,76782.01811,145765350
3,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2622,0,0,0,0,8948,0,0,0,0,1975,5,0,0,0,73,0,0,0,0,1616,1006,0,0,0,5513,3435,0,0,0,1702,272,5,0,0,33,40,0,0,0,2,2589,31,0,0,7,8836,104,0,0,0,1975,6,0,0,0,67,7,0,31333.52886,4690012.5
4,Asht_Ponghoz,Asht,Ponghoz,1064,23,28281,5064,859,0,0,5064,0,0,0,0,28281,0,0,0,0,1059,5,0,0,0,23,0,0,0,0,1,5062,1,0,0,6,28270,6,0,0,323,734,7,0,0,4,19,0,0,0,0,1008,4056,0,0,0,5266,23015,0,0,79,591,389,4,0,1,7,15,0,73993.80615,189097087.5
5,Asht_Oshoba,Asht,Oshoba,11576,90,21361,5376,920,0,0,5344,32,0,0,0,21232,130,0,0,0,11566,10,0,0,0,90,0,0,0,0,0,5344,32,0,0,0,21232,130,0,0,51,11504,21,0,0,0,90,0,0,0,0,3997,1380,0,0,0,15879,5482,0,0,0,8693,2883,0,0,0,66,24,0,160412.1856,389722725
6,Asht_Shaydon,Asht,Shaydon,7985,92,6173,7080,1201,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,0,0,0,0,0,7080,0,0,0,0,6173,0,0,0,1,7984,0,0,0,0,91,1,0,0,0,472,6609,0,0,0,300,5873,0,0,0,788,7198,0,0,0,3,89,0,182506.6164,590353875
7,Asht_Iftikhor,Asht,Iftikhor,2746,55,11415,1917,326,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,0,55,0,0,0,0,1418,499,0,0,0,8621,2794,0,0,0,1344,1402,0,0,0,21,35,0,0,0,0,1845,73,0,0,0,10995,420,0,0,0,2673,74,0,0,0,44,11,0,93790.38571,148386600
8,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2622,0,0,0,0,8948,0,0,0,0,1975,5,0,0,0,73,0,0,0,0,1616,1006,0,0,0,5513,3435,0,0,0,1702,272,5,0,0,33,40,0,0,0,2,2589,31,0,0,7,8836,104,0,0,0,1975,6,0,0,0,67,7,0,32505.91645,23375925
9,Asht_Oriyon,Asht,Oriyon,4075,30,18187,4891,833,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,4890,1,0,0,0,18185,2,0,0,0,3836,239,0,0,0,30,0,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,45970.3221,54716400
10,Asht_Adrasmon,Asht,Adrasmon,336,30,15100,2845,505,0,0,2258,589,0,0,0,10958,4142,0,0,0,243,94,0,0,0,20,10,0,0,0,0,1416,1430,0,0,0,3090,12010,0,0,0,214,122,0,0,0,5,24,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,38042.06193,83644762.5
11,Asht_Mehrobod,Asht,Mehrobod,9968,104,13250,4515,781,0,0,4321,194,0,0,0,12689,561,0,0,0,7125,2844,0,0,0,67,36,0,0,0,0,3697,818,0,0,0,10812,2438,0,0,0,6410,3558,0,0,0,51,53,0,0,0,0,4515,0,0,0,0,13250,0,0,0,0,9737,231,0,0,0,103,0,169841.5459,746529525
12,Asht_Shodoba,Asht,Shodoba,6133,14,9191,2520,452,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,1450,1071,0,0,0,5112,4079,0,0,0,3121,3012,0,0,0,5,9,0,47929.50935,75260587.5
