FID,DISTRICT,SUM_BUAT_fld5_1,SUM_BUAT fld5_2,SUM_BUAT_fld5_3,SUM_BUIL_fld5_1,SUM_BUIL_fld5_2,SUM_BUIL_fld5_3,SUM_PEOP_fld5_1,SUM_PEOP_fld5_2,SUM_PEOP_fld5_3,SUM_AGRI_fld5_1,SUM_AGRI_fld5_2,SUM_AGRI_fld5_3,SUM_ROAD_fld5_1,SUM_ROAD_fld5_2,SUM_ROAD_fld5_3,SUM_BUAT_3,SUM_BUAT_4,SUM_BUAT_5,SUM_BUIL_3,SUM_BUIL_4,SUM_BUIL_5,SUM_PEOP_3,SUM_PEOP_4,SUM_PEOP_5,SUM_AGRI_3,SUM_AGRI_4,SUM_AGRI_5,SUM_BUAT_6,SUM_BUAT_7,SUM_BUAT_8,SUM_BUIL_6,SUM_BUIL_7,SUM_BUIL_8,SUM_PEOP_6,SUM_PEOP_7,SUM_PEOP_8,SUM_AGRI_6,SUM_AGRI_7,SUM_AGRI_8
0,Asht,1440,401,190,8435,2365,1129,30332,9010,4808,11256,4342,1878,112,45,39,1681,457,206,9843,2703,1236,35182,9769,5510,12925,5188,2471,1807,526,293,10579,3106,1742,37318,11090,7338,13403,6187,3490
1,Ayni,379,191,207,2185,1094,1189,13901,7281,8583,558,315,380,105,55,106,418,217,219,2395,1249,1267,15214,8299,9054,656,378,399,400,217,344,2316,1239,1942,14486,8146,13084,578,369,605
2,Bobojon_Ghafurov,2969,876,317,20098,5938,1926,111149,30066,9799,10673,2948,1171,396,115,35,3345,993,365,22621,6678,2225,124566,33739,10968,12553,3715,1432,3517,1162,447,23810,7864,2703,129831,40285,12907,13855,4812,1916
3,Devashtich,940,232,101,5502,1361,599,24791,6127,2726,9384,2759,1245,74,19,13,1091,274,116,6391,1611,684,28879,7301,3138,10699,2989,1362,1193,365,177,7008,2140,1032,31761,9729,4752,11092,3766,1872
4,Isfara,997,394,289,6816,2805,2267,42685,15669,11795,3451,1542,1783,130,61,52,1088,493,385,7408,3496,2992,47530,19562,15490,3726,1798,2254,1109,555,590,7433,3955,4476,48448,22477,23552,3755,1979,2934
5,Istaravshan,1587,628,328,10689,4308,2392,45425,18925,11337,12198,3569,1047,153,58,39,1751,728,394,11772,4972,2820,49685,21770,13794,13781,4014,1261,1768,817,544,11954,5585,3939,50089,24610,19180,14346,4872,1710
6,Jabbor_Rasulov,1436,355,72,10806,2773,561,42298,10925,2189,6481,2059,500,99,24,1,1605,418,90,12084,3287,692,47136,13114,2715,7414,2495,659,1744,517,132,13100,3991,1018,51258,15889,4001,8012,3231,1063
7,Konibodom,1286,250,38,8733,1644,240,40030,6936,910,7070,3202,1056,168,43,8,1547,292,47,10593,1945,291,49060,8322,1139,7923,3718,1323,1762,368,60,12112,2448,384,56639,10508,1527,8152,4358,1776
8,Kuhistoni_Mastchoh,71,28,23,420,163,136,3267,1343,1154,458,202,266,18,8,10,80,26,25,473,159,151,3669,1322,1283,531,225,283,74,30,32,439,180,191,3384,1471,1619,477,214,374
9,Mastchoh,657,164,24,3851,964,145,19993,4999,653,9138,2872,515,125,43,14,737,187,32,4328,1094,189,22403,5773,924,10013,3526,776,776,233,45,4547,1375,272,23911,7285,1329,10244,4329,1167
10,Panjakent,1299,584,444,8033,3628,2675,40399,18927,14588,4531,2262,2338,136,53,88,1504,620,521,9345,3852,3163,47258,20304,17620,5198,2394,2592,1443,704,752,8963,4383,4546,44472,23122,25729,4983,2560,3271
11,Shahriston,530,217,76,3144,1298,457,9549,4022,1421,4938,1618,448,50,31,31,580,256,88,3444,1523,523,10428,4714,1625,5545,1823,527,594,296,125,3523,1758,744,10621,5406,2328,5510,2202,759
12,Spitamen,2011,926,453,13838,6393,3173,69201,30852,14053,10838,5722,3882,109,58,43,2150,1056,565,14791,7296,3929,74645,35103,17285,10815,6903,5644,2212,1255,804,15166,8665,5513,76190,42433,23917,10259,7309,7796
13,Zafarobod,564,185,23,3282,1083,145,10350,3201,410,7566,2313,397,70,16,1,630,232,37,3661,1346,220,11661,3971,673,8441,2823,512,667,292,55,3884,1702,318,12492,5173,933,8863,3582,752
